,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,A,B,C,D,E,F,G,klasa
0,0,0,0,0,-54.015632718573464,-22.50401466927661,-231.07956319121558,288.88864311645864,-477.1115355822611,103.06014878100771,-326.8643499989098,1
1,1,1,1,1,-104.4143548479201,27.41418277248993,185.56403537081843,315.8237817049742,-559.4094335593959,75.81468683885394,-303.6457079914743,4
2,2,2,2,2,-61.02827561485347,-15.380932479105056,-236.83287314941623,525.104974625262,-533.6921533501425,211.55126349331613,-330.0658942141792,1
3,3,3,3,3,-78.9401990127168,-61.7319752092175,-111.81670932329851,382.7699076679323,-87.93934924612583,30.708366946863322,-135.1253919555267,3
4,4,4,4,4,-102.83988138162123,-12.877850455046348,182.2975467276933,271.68106385805334,257.20686446680617,-15.263302483694332,-230.66325956031537,2
5,5,5,5,5,-92.16854361695242,19.511051235625047,159.58619318299668,165.23916794694225,-537.053242161596,4.073493566028674,-320.91862070545733,4
6,6,6,6,6,-108.76309232030344,-20.721696044142845,197.32351125972974,491.002197420293,314.6574644872058,20.31825271408705,-231.97557734024025,2
7,7,7,7,7,,51.221350974513065,207.91218742755606,168.75567340134637,-272.0971001339305,9.665213721002944,-287.01702044134635,0
8,8,8,8,8,-27.27690176648241,-54.6019490263981,-37.108288653975634,170.68251310870974,-92.07652277504644,257.4974987927069,-141.72977305396827,3
9,9,9,9,9,-91.72992689534416,24.22000947574601,194.33014588907486,111.43358172805986,-487.3473584939779,51.646452726591995,-306.3995242163377,4
10,10,10,10,10,-31.133031262622858,-6.607198133139138,-244.5929890175336,527.876407190862,-532.424573392982,96.45027397138348,-331.35144345847107,1
11,11,11,11,11,-61.893931079806826,-24.535781055811327,281.94690238382617,91.86092101000229,336.80049769242544,219.23059570894497,-278.15921057867456,2
12,12,12,12,12,-101.88468502707495,24.952865112523853,177.11301982099334,171.03361388617984,-498.5366308542222,41.18614547616693,-315.25283111909215,4
13,13,13,13,13,-68.71901501180713,50.6790805020111,203.468578752386,406.25675827340797,-291.79827473872837,182.4690858958774,-292.8327457943426,0
14,14,14,14,14,-86.3310242950684,-53.6932102247696,-13.118951677880062,25.34562780933044,-48.920832065729506,18.87506236160489,-145.44077064011006,3
15,15,15,15,15,-46.16851593945833,9.244055884753742,204.3293517419777,368.04353088573197,-501.2383240555697,56.41618747734865,-341.0734655728544,4
16,16,16,16,16,-80.39649249088006,21.116435535752323,250.29482496763387,206.71415144088024,-489.06179103361495,58.50700635907482,-335.6827276275692,4
17,17,17,17,17,-79.87827462072491,-17.026291904634306,246.97218088525662,75.50795537625578,307.61565710555834,182.59309099972404,-251.1056281711372,2
18,18,18,18,18,-64.44125659581314,-15.474289943711874,-291.57406583473625,10.766563994346884,-570.3602773948819,32.11458232534335,-333.5794163330962,1
19,19,19,19,19,-70.1257080872152,57.53804735161325,303.2337814579285,454.2250114853702,-219.5182386356171,42.79411436179839,-322.5948864732587,0
